,0,1,2,3
5120,渡口无边,5,众口一辞、所谓事实。对事件的质疑，对公平的追求，理性思考、合理怀疑，有理有据，十一人态度的前后变化，良知的唤醒，消除偏见与个人情绪。狭小一室，舌战群儒，直抵人心的反思与自省，以小见大，同时包含国家社会强大之道。,2014-02-09
5121,春焼辰,5,越往后看越觉得真相真的只有当事人才知道  每件事情本来就是多面性  有的那一面无的那一面  法庭是一个把众多证据集结起来审判一个人是否有罪的地方  但真的是否有罪  也只有自己才能审判自己,2014-10-30
5122,猫语猫寻,5,非常精彩的辩证讨论会，从十一比一，到全票，从有罪到无罪，96分钟，没有真正的尸体、没有真正的目击者、没有真正的鲜血，却精彩到让你连暂停都不忍按下去！太精彩了！,2010-12-26
5123,暴力卡車,5,"難以想象幾乎僅在一間密室內就能拍出這么一部令人叫絕的影片 無論是 想學心理學的 想做銷售的 想做管理者的 还是想當編劇的 都得拜讀一下這本教材 ""美國之所以強大的原因"" 倒不如說本片是對陪審團製度的一種諷刺 一群各種職業懷着不同的目的責任感大小不一的法律門外漢 卻在某個無聊的下午決定起一個人",2008-11-22
5124,燃骚吧！火狗。,5,(negotiation课上面看到的空手套白狼完美说服的典范)充满笑点的一个片子，虽然很冗长，每个人都充满个性。12个男人里面只有1个是清醒和负责的。民主选拔的弊端就是这样，有些人不在乎自己的选举权，有些人仅凭感情用事，有些人老朽，有些人激进。只有一场瓢泼大雨才能把他们淋醒。,2010-03-03
5125,浅ds10,5,把人的心理捕捉运用得太巧妙了！！！民主制度的主题也表现的相当好！！！名副其实的水准片！,2012-03-14
5126,韩景峰看电影,5,电影让观众在极端狭窄的视觉空间里体会到了一个跌宕起伏的故事，并在讨论评审团制度和法律制度的同时，对人性进行了鞭笞和赞扬。影片保持了紧张有序的节奏，将案情与分析一步步地呈现在观众面前，引人入胜。它就像是一颗深水炸弹，随时可能爆炸并喷溅出思维、智慧和良知的水花。,2013-11-12
5127,Rach,5,我们专业管这个叫作Group think theory。表示个体经常为了追求集体的和谐而作出草率的决策。Henry Fonda实在是太帅了，开始理解他那一代男演员的魅力,2010-11-29
5128,猪头山太子,5,这片子了不起阿。当判断一个人的好坏，当你要去决定一个人前途和生命的时候，再怎么慎重的思考都不过份阿。我觉得现在很多人就是这12个人的化身，愤怒的情绪会让很多人作出偏激的判断。我又到底做了多少错误的判断？？,2012-12-20
5129,Rapunzel,5,如果让我评选人生必看电影，此片必列其位！这是一部真正伟大的电影，它做到了一部电影应有的影响，将这个国家的人引入更加进步的思潮，唤起人类的良知。人类的发达和先进在于公正的思考、客观的判断、冷静的表达，也是美国真正强大的原因。民可，使由之，不可，使知之。发人深思。,2011-03-29
5130,darkDORK,5,"三更半夜看得我哭声震天，太有感染力的剪辑了 非常非常漂亮的高加索旋转
一个天朝的起因开端 一个美帝的收束完结",2011-08-07
5131,童尼,3,社会心理学入门，裁判制度SHOW， 据说美国经过裁判团的程序的案件其实不是很多。 至于要剔除偏见，个人情绪等等来判断一件事，又谈何容易，在证人证言即真相的 惯性下， 在少数服从多数的压力下，让我们对于自己手中的权柄更要用得慎之又慎。在这个无公义的社会，这一切不过是白做吧。,2011-06-19
5132,林 沂 沐,5,看完之后失眠 于是又看了一遍 大师级的制作 演技也没得说 只是「怒汉」的翻译叫人有种煽情的臆想,2010-09-27
5133,Max,5,这个Not guilty无疑是目前为止听到最令人振奋的一次。精妙绝伦，正义之路、文明之路、民主之路。,2012-06-19
5134,话不糙理糙,5,那讲原则的钟表匠是个亮点，代表的是普通人的良知。一个讲民主的地方光有Henry Fonda那种高智商人物是不够的。12个人里面不可能都是讲道理有智慧的人，一场11对1的悬殊场面被翻盘是理想状态，也就出现在戏里。隐约看见“罗伯特法则”，但暗想在中国就真难。真好看，90分钟全无尿点。,2013-01-14
5135,轩煜,5,不得不说这是影史上的经典，全片的主要场景都发生在一个房间内，这让我想到了希胖的 夺魂索，其辩论的精彩程度不亚于大学生辩论赛，更重要的是让我们看到了更人性的东西，有大吼大叫，有哭有笑……男主角冷静理性的思考不由让人佩服啊,2010-01-01
5136,мая,5,七个证人的灵感来源，对封闭空间流畅的掌控力和漂亮的群戏表演，几段推理也很够水准，应该是电影史上最值得一看的“推理”电影之一,2013-04-05
5137,瞳°不乖,5,一个场所，十二个人，完全靠台词支撑起来的电影，他们身上有我们的影子，是被大雨困住的社会孤岛，是被寻求真相牵引的理想之国~~,2011-08-08
5138,静·生活每天都充满阳光,5,首先，王大刀推荐必属精品。其次，早期的电影精彩之处就在这里，很简单的布景，几个人，缜密的推理和深厚的台词功力，华丽丽的撑起一部好片儿！看完之后感觉跟自己玩了一局杀人游戏一样！也理解了为什么现在杀人游戏和狼人这么红了！P.S.看完之后越发想去米国，越发珍惜人性中的良知与温暖了！,2013-08-08
5139,菲比寻常,5,真的是很好看的一部电影。展现传播学中意见领袖的力量。电影全程在一间房间拍摄，压抑的天气和环境，直到最后的意见统一雨后天晴。把每个人面对怀疑时，对真相的苛刻追求，而现在的人们，只会以自己的偏见把真相踩得遍体鳞伤。,2012-06-18
5140,菲比寻常,5,真的是很好看的一部电影。展现传播学中意见领袖的力量。电影全程在一间房间拍摄，压抑的天气和环境，直到最后的意见统一雨后天晴。把每个人面对怀疑时，对真相的苛刻追求，而现在的人们，只会以自己的偏见把真相踩得遍体鳞伤。,2012-06-18
5141,米米阳光,5,我想这是我看过的最成功的电影，最低成本的电影，最聪明的电影，最有艺术的电影，最能载入教科书的电影……,2010-11-06
5142,且歌且走,4,说到底还是律师太烂，这些疑点本来就可以在法庭解决的。主角坚持自己的意见，合理说服众人的勇气非常令人钦佩,2012-10-04
5143,神迦乐小舞,5,太好看了！！太牛逼了！！句句吐槽都是亮点！！！十二个帅哥都应该拿影帝！！！相逢恨晚啊！！！！,2010-01-16
5144,延安新村陈妙可,5,民主，权力，真理，法制，合理的怀疑，合理的解释，立场单纯的正义与责任。多么牛逼的主旋律电影，与上帝无关，与英雄主义无关。,2011-09-13
5145,猫疱,5,"在一间不到20平米的会议室中将人的智慧,勇气和变态全部放大,编剧相当出色,8号死扣案件细节所作出的推理也很精彩",2008-12-27
5146,ミステリー,5,可以决定一个人的命运的时候再多的思考也是对的。在他们看来比起让个别人逍遥法外 让一个无辜的人蒙受不白之冤更加是一个国家司法制度上的污点。这样的制度虽不够完善但起码是基于 对原则的坚持 对生命的尊重。,2013-07-11
5147,yuanhan,5,这种剧场式的全靠台词撑的电影我最喜欢。好好学习如何在绝对劣势的情况下反败为胜的技巧。,2011-07-06
5148,秦繼,5,真相只有一个，被告席上的少年非生即死。自由民主是福利更是代价。事实无法厘清时，不信直觉而是做严格的无罪推定，貌似是冷酷无情的重程序，其实是自私的保护明天的自己，宁漏杀一千，不错杀一个。辛普森也许逍遥法外，但聂树斌肯定不会冤死。,2013-03-31
5149,浮影人生,5,狭小空间中仅仅靠12个人的对话撑起整部影片。我个人认为此种类型片本片虽称不上鼻祖，但绝对是前无古人后无来者的巅峰之作。男主角较舌战群儒的诸葛亮有过之而无不及，从开始的以一抵众到后来的全部策反成功。除了慨叹片中精彩绝伦的对话，更重要的是他们都具有良知才会被改变。美国强大不是没有原因。,2016-12-18
5150,雅诗兰豆,5,震撼！正义之神一定护佑了本片，如此行云流水、浑然天成。亨利方达拥有一双悲天悯人的眼睛。看看出品年份1957年，暗叹，当年的中国在搞什麽，美国的公民权利都已经到这个高度了……从此喜欢上密室剧。,2009-01-13
5151,少年派的崛起,5,经典话唠片，影片体现了司法公正民主和合理疑问的重要性。剧本很棒，演技优秀，牢牢抓住观众的火花四溅的辩论是影片最经典的地方，最后的大逆转令人过瘾 。不过从案件本身来说，再开庭审判一次弄清真相比判无罪更明智,2013-12-09
5152,Bruce.ning.lee,5,很伟大的一部片子，1957年制造。在固定的单一场景内为我们展现了很多很多，价值观，社会制度，人物性格，大众心里...对待很多的事情要慎重，有时候坚持自己弥足珍贵。整体虽然显得理想主义了一些，但是这个毕竟是一种有效且进步的存在。,2011-01-05
5153,lilycole,5,在了解了美国的司法制度之后，观看此片比较切合。除了对美国司法精神的质疑，本质上还是对人性的拷问。Business Law上常说，是否符合一个reasonable person的心态和处事方式，那么究竟什么是reasonable呢？？,2012-12-01
5154,Woodeast,5,"真是不错，很多时候发人深省。BE A KIND AND GENTLE MAN. AT THE SAME TIME, STRONG AND RATIONAL.",2010-03-30
5155,然而,5,"可怕的""合理怀疑""，“美帝国主义”的主旋律我却看的一头劲，很有罪恶感...",2012-02-26
5156,Raaaay,5,"If after a careful and impartial consideration of all the evidence, you are not convinced beyond a reasonable doubt that the defendant is guilty, it is your duty to find the defendant not guilty.",2012-09-03
5157,见晴,5,有人性、也有司法制度的思考。如果没有足够确凿的证据证明一个人是有罪的，就不能判处他有罪，仅仅因为民意和感性就判处一个人有罪的司法制度是可怖的，因为谁也不能保证下一个轮到的是不是自己。,2014-02-22
5158,螺丝இ,5,这部电影能看出很多东西：关于民主、关于美国的司法制度、关于人性、关于团队、关于理性、关于人际。没什么俊男美女宏大制作还依旧有情节有张力，表演对白均属上乘，这才算是电影的真谛吧！,2012-01-02
5159,润物,5,一间房子，十二个人，从头至尾，节奏紧凑，仅凭这一点，这部电影足以高居电影历史排名前列，更不要说其中深刻的内涵了，智慧的经典。,2009-12-02
5160,兜兜未来,5,一部能让人始终试着主动去猜测结果的电影通常都是好电影，十二怒汉也不例外，诸多长镜头下的芸芸众生，我在想，如果结局是“小孩在等候判决的时间段里，扛不住压力，咬舌自尽了”，那就完美了，整个一步欧亨利，颠覆式的！！！,2011-01-02
5161,螺丝இ,5,这部电影能看出很多东西：关于民主、关于美国的司法制度、关于人性、关于团队、关于理性、关于人际。没什么俊男美女宏大制作还依旧有情节有张力，表演对白均属上乘，这才算是电影的真谛吧！,2012-01-02
5162,xīn,5,资料馆2014.1.23.7pm 在大银幕重看，十二个人来自各阶层/族裔/性格/知识背景/政治立场，由亨利·方达点燃质疑，但对证据链各点的击破是由众人完成的（犹太老头、礼貌先生、喉糖小子），在一年中最热的一天、借一场雨洗刷天地，走入法院陪审室的不只是演员、更是观众，最后离开时获得的是一种思维方法。,2008-01-28
5163,毛线球,3,电影太做作，男猪脚好吓人，而且男猪脚完全就是胡搅蛮缠，证词证明不了有罪，但也证明不了无罪啊，“可能”“也许”能当证据噻，跟白马非马一样货色…疑罪从无都被他糟蹋了，证明无罪也要证据的好吧……哼，小孩张的像272,2010-07-28
5164,Zola,5,单场景电影，和七武士一样的是，把一个个人物的刻画的很好，结局引人思考。吕美特最好的电影无疑，所有吕美特元素集齐，密闭空间、对话、法律、结构、反转。,2011-03-23
5165,野野,5,民主与偏见，质疑与辩护，阐述过程不问真相的罗生门式的对话电影。十二个个性迥异的陪审团成员，激烈的分析争执层层递进的矛盾，建立在「合理怀疑」上执著的探寻精神和体制漏洞的意淫。少数人的狂欢多数人的围观。结果心理掰倒一切。也许真相也从少数人滑向了更不可知的深渊……,2013-02-23
5166,TOWNE,5,個人偏見，刻板印象，人雲亦雲，一場hair-splitters’ convention，質疑，細節，說服。It is not easy to stand alone against the ridicule of others。,2013-04-10
5167,É,5,匆匆忙忙赶到Le Champo，还好只迟到一分钟。真的庆幸未因时间来不及而放弃这场电影，从中看到了也学到了很多东西，好电影就是12个男人关在一个房间讨论一个半小时，你也能津津有味的看下去，充满了对各种的思考与怀疑。成为经典，必然。,2012-08-16
5168,这个假了,5,由于专业的影响，这部电影绝对值得我尊敬；“效率与公平兼顾”这在中国司法行政系统中理所当然的一个“真理”被这部电影批驳的一无是处！本片对于人物的塑造堪称完美，最欣赏那位“不会流汗”先生,2011-04-10
5169,"Printf(""紅"")",5,在如此短暂的时间和狭小的空间中集中爆发出如此精彩的人性对抗让我真正体会到美国电影在50年前所达到的高度.,2008-11-06
5170,zongzi,5,“我一直在听。。。现在闭上你的臭嘴，给我坐下！”这个镜头看了简直头脑里要爆炸了一般,2010-08-01
5171,V_Lachesis,5,"Without flashbacks, the 12 men replayed the story simply by intercutting narration, and then contributed a vivid education about personal prejudice, legal system, and the spirit of democracy. Though bit theatric, the textbook group directing grips all dynamics and tension.",2011-07-31
5172,我TM是党员,5,完美的电影 只需要96分钟就让你明白什么是民主 什么是法律 什么是人性 吕美特对这种小空间多人物电影的拿捏堪称史上最佳 后来的《热天午后》是完美的延续 亨利方达和一众演员的表演绝无瑕疵 前两年俄罗斯翻拍版也值得一看,2011-01-25
5173,浮游海月,5,如果成步堂和御剑来当辩护律师和检察官的话，应该就没陪审员什么事儿了吧。他们只需要充当人肉背景在推理和辩论进行到激烈处时爆发出讨论声烘托气氛就行了。老版果然也不错，虽然更喜欢俄版不过原版的怒汉们激辩的也相当精彩。虽然他们找出了各种疑点可惜案子的真相还是没理清。,2013-11-10
5174,喜乐,5,这部电影实在是太伟大了！就像当时看完林达的书《历史深处的忧虑》一样激动！anyway，化身为理智与情感并存的男主居然是建筑师！我从他身上看到了太多东西，最重要的一点是人性的良知。,2011-04-14
5175,_▁PSycHo。,4,看简介以为会很boring，但演员到位的表演和精湛的台词弥补了单一场景的局限性，难怪评分出奇的高。【其实这么多疑点应该重新调查重新取证啊亲。还是说咱看的不是电影本身而是从中折射出意义？guilty与否其实从来不是重点... 另外not guilty 与innocent有嘛区别...？,2012-10-03
5176,局长,5,真的是太好看了,2011-07-20
5177,感情丰富的毛巾,5,关于这部电影能阐释的东西实在太多了，但仅仅从一部电影的角度来看，在今天看这么一个古老纯正的扎根于剧本和表演的电影是多么难得。,2011-08-08
5178,黄海,5,还有比着更牛逼的嘛。司法，人性。不过在那种没有确凿的证据不能判死刑的司法制度下真的漏过了不少坏蛋，所以美国社会现在才能如此活跃和活跃过头。。。。。,2010-06-06
5179,Chris Keller,5,这90分钟看的是激动人心呀。一个小房间里语言与思维的碰撞激发出的人性与真理的火花，不愧为经典。,2011-12-15
5180,德拉库拉拉,5,2008-4-9 熄灯 10/8.8(67057) #12  只需要一个理性的声音，就足以战胜十一倍的愤怒,2008-04-09
5181,玉吉村,5,在看电影的时候，我发觉我就像是那个即将被判处死刑的小男孩，死亡对我这样一个未经历世事的孩子来说只是迟早的事，但又多么的渴望生的希望。,2012-08-22
5182,船山遗风,5,这难道就是传说中的法制社会，共产主义公平社会？还是1957年的理想主义？祖国何时能够达到？,2012-04-02
5183,凹凸曼|㍿,4,在国内就不会出这样的事——1号：“认为他有罪的举手”（11-1）1号：“你搞什么特殊，同志们开完会还要去KTV呢”8号：“我感觉有点疑点，不过算了吧，我们待会去哪家KTV？”（12-0）……皆大欢喜,2011-11-02
5184,毛毛？,-,这一套电影统称“织毛衣”式的电影，它存在的意义就是让观众把织好的毛衣再拆掉。,2014-03-11
5185,Averill,5,根本就事剧本上不可愉悦的经典，现在的写出一堆烂剧本和玩弄小情节小段子的电影人应该feel shame,2011-09-10
5186,V_Lachesis,5,"Without flashbacks, the 12 men replayed the story simply by intercutting narration, and then contributed a vivid education about personal prejudice, legal system, and the spirit of democracy. Though bit theatric, the textbook group directing grips all dynamics and tension.",2011-07-31
5187,砚小朵™,5,如此酣畅淋漓！如此细微末节！五十年不老的好片子，只用了一个点，一间房子，十二个人，一百分钟，就彻底展示了一个国度的核心价值。如何决定一个素昧平生的人的生死？由“合理怀疑”这个美国司法制度中相当宝贵的一点出发，展示了什么是公平和正义。民主是最耗费资源的，没错，但是民主让人，像人。,2011-02-20
5188,doris_leung,5,好看，十二個演員在一個封閉的密室里對案件進行討論，用對話來敘說案情，形成故事中的故事。演員的演技一流，豐富的內心活動與情感的表達，雖然影片拍攝于封閉的空間里，但在短短的96分鐘里卻能感受到該電影的戲劇張力...很經典..,2009-12-10
5189,Pond,5,MiniSD-TLF：http://www.verycd.com/topics/2803261/,2008-06-11
5190,我TM是党员,5,完美的电影 只需要96分钟就让你明白什么是民主 什么是法律 什么是人性 吕美特对这种小空间多人物电影的拿捏堪称史上最佳 后来的《热天午后》是完美的延续 亨利方达和一众演员的表演绝无瑕疵 前两年俄罗斯翻拍版也值得一看,2011-01-25
5191,Ansa,5,超棒的电影.！一环接一环.！not guilty！,2012-05-25
5192,小四不象,5,十二个人吵架也能吵出一部电影，不得不佩服编剧的功力，这个剧本算得上是精彩绝伦。还有，美国这个国家之所以强大，就在于他相对公平。,2010-10-31
5193,philips001,5,读研时候看的吧。经典中的经典，后来重拍了没敢看，怕会后悔。特喜欢米国法庭片的气氛。我在想，你让12个中国人坐一起决定外边那个人的生死，会是怎么样的？,2012-09-03
5194,unundercooled,-,http://kankan.xunlei.com/vod/movie/17/17808.shtml,2010-10-30
5195,xjc_jovi,5,偏见会蒙蔽真相 这个电影可以当普通人了解美国陪审团制度的入门影片 相比之下 米哈尔科夫的版本观赏性更佳 解释得更明白 让观众更容易进入 老吕这个版着力点在理 老米的版本更在情 细节打磨得更精致饱满 但毕竟翻拍已经捡了个大便宜了,2012-11-04
5196,大师兄,5,今年看过最好看的电影，过瘾，已经说不出话来了，这才是人性。,2011-03-14
5197,连城叁月,5,虽然只有一个场景，内容也只是一场辩论，但却是一部真正伟大的电影，从1比11，到12比0，8号陪审员的胜利是民主与制度的胜利，更是人性与理性的胜利,2013-10-15
5198,我爱德芙,5,苍天啊，这得多大的本事才能编好这个剧本啊？！严丝合缝的台词、精彩的表演、巧妙的环境烘托，完美！,2011-12-29
5199,goaty逢考必过,5,Top250里又一部堪称神作的！ps，另一部是上帝之城。短短的一个半小时完美的展现了十二个人的性格，背景，出身，喜好，职业…怀疑既是无罪，第一次听说是从老马那，他还给我讲了很多有趣的案例，这也让我更好的理解此片。剧情片当是如此！,2014-01-23
5200,海棠,5,语言匮乏。就想搬个板凳坐电影院门口跟行人说：来嘛~,2012-11-22
5201,psycho DC,5,整座岛上都是丁满！！！,2012-11-22
5202,fish哥,5,【狐獴】，艺名丁满，出道时因自身面部表情傻不被业内看好，一直无名，早期作品有《狐獴大宅门》、《狐獴国度》。94年因参演《狮子王》名声大噪，后与疣猪彭彭发行单曲《哈库拉·马塔塔》，并出演电视剧《彭彭丁满历险记》，全球热播。近期，它又在《少年派的奇幻漂流》有着出色表演被更多观众熟知。,2012-11-24
5203,柏林苍穹下,5,“我心里有猛虎，在细嗅着蔷薇，审视我的心灵吧，亲爱的朋友，你应战栗，因为那里才是你本来的面目。”——西格夫里·萨松,2012-11-23
5204,Obtson,4,生活在信仰缺失最严重的国度，看这样的电影相当于一次输血。深邃阔海，浩缈星空，绝境谕旨接踵而来，漩流深处响起弥撒之音。李安从来都不会纵情，他只是个温柔的人，腼腆着讲述内心的哲学。,2012-11-22
5205,Run Girl Run,5,"「我的父母 我的兄弟 理查帕克
最後都離我而去了
到頭來我相信人生就是不斷地放下
然而痛心的是
我都沒能好好的與他們道別」
All of life is an act of letting go but what hurts the most is not taking a moment to say goodbye.


李安今天到達現場　驚喜至極",2012-11-10
5206,绊倒大象,5,李安的片子越来越有得道升仙的感觉。。。把奇幻的世界也拍的太美了/见证上帝的说辞是真是让人羡慕有信仰真好/男主角π说人生虽然要放开一些事物，但是放开的时候还是要好好的道别呀。然后我就哭了。。。,2012-11-11
5207,九只苍蝇撞墙,2,一台灣人以歐美人的3D眼鏡視角講印度人和動物在海上的事兒，除了投合有消費能力的各族人民的口味意圖賺很多錢，實在看不出拍這樣的片子有什麼意義。李安招牌似的溫情肆意氾濫毫無節制。特效和美術設計都萌的很二手日本，後來一問才知道原來出自寶島特效人員的手筆。,2012-10-21
5208,陆支羽,5,5.0。1.什么都信，才看得见奇幻之美，纵末日亦无惧。2.蓝鲸涌出海面如此之美，迫于抢救食物的派却无暇欣赏。3.即便抛开3D，这照样是个美妙的故事，李安再商业也会有光辉。4.对视深海一幕派与虎合而为一。5.浮尸岛的昼与夜，美与恶。6.同一故事两种讲法，照应梦境与现实。7.人生到头来就是不停地放下。,2012-11-22
5209,木卫二,3,不得不承认，跟要讲的漂流故事一样，电影有个挺吸引人的3D开头。中间开始乏力，大段大段重复的明信片场景，呼唤神灵喊妈妈。至于所谓的黑暗版，这种流于表面、直接扔给倾听者（观众）去选择的方法，真的很独到吗？信哪个会提升你的人生感悟么？？反正，它是影响不了我对影片的失望,2012-11-22
5210,叶子阿姨,5,我以为它会回头，但它只是朝着森林深处望去，然后永远消失了。也许父亲说得对，它根本没有把我当成朋友，但我非常确定，我在它眼中看到的，绝对不只是我自己目光投射的倒影。它就那么头也不回的走了，但在我内心深处，它永远与我同在。,2012-11-22
5211,米粒,5,五星献给自己看到的最好的3D电影。李安自己也说，拍这电影是不可能完成的任务，但他自己辛苦努力四年终究做到了。第一次如此感受到3D是一部电影不可分割的一部分，以及变换的画幅比例、层层交替的剪辑，一切都是为了故事本身。故事从冒险到有些奇幻，PI其实没有很多内心表达的镜头，但我可以感受到它,2012-09-29
5212,办公室甜心,5,我从小热爱着海洋，觉得它美极了神秘极了，李安完全把我所能想象出的乘以十倍夸张梦幻勾勒出来，水母之夜鲸鱼出水，晚幕下晶莹剔透的绿色孤岛，电闪雷鸣的暴风雨等等，大海上的每一帧剪下来都是一副视觉佳作，3D效果异常出色，老虎出来的那一下我他妈真的在电影院吼了句“我操你妈 ！！！！”,2012-11-22
5213,花花,5,在纽约电影节开幕上看了首映，唯一的感觉就是画面真的太！屌￼！了！！！！情节非常紧凑，高潮叠起，3D的效果也不是盖的！！！再说一遍，真的太屌了！！！,2012-09-29
5214,白发生,5,每个人内心深处都渴望美好的事物，却总是无力改变现实的残酷，唯有调整自身的态度，方能为生活寻得一条出路。派将穿透漫天乌云的一线曙光视为神迹，我们又何尝不是因为对光明的憧憬而找到前行的勇气。人生就是不断放下的过程，终有一天能够坦然面对生命中那些遗憾的如影随形。,2012-11-22
5215,樣衰仔,2,"好久沒睡那麼香了。把電影弄的跟那些傻逼滿分高考作文一樣真的沒什麼意思，通篇都是類似那種 ""一個人應該有有xx或xx，人生就應該xx或xx，生活應該是xx或xx的樣子"" 的氣息。這些對我來說終究還是太噁心的命題，本身想講的東西誰都懂卻把它做成這種心靈雞湯實在沒什麼意義。",2012-11-23
5216,影志,5,每个人心中都有一个瑰丽壮观、无人能及的冒险之旅。李安用最豪华的视效和最细挚的情感打造了2012年海上漂流版的《荒野生存》，看完电影，我宁愿相信它是一场梦，长醉不醒。【人生到头来就是不停地放下，可最痛心的是，我都没能跟他好好道别……】,2012-11-22
5217,tintin76,5,震撼人心的镜头不少，随便数几个：镜面海、水母夜、飞鱼来袭……3D效果最强的场景之一是奄奄一息的老虎躺在少年腿上的那个夜里，整个影院就像在滴雨，我真的有抬头看是否是电影院天花板漏水了……,2012-10-21
5218,廿四,5,同樣是關於少年和冒險的故事，不得不說，勝過老馬的《雨果》不止一兩點。第一次，3D的感覺不再那麼商業。50屆紐約電影節光榮開幕影片！More than just amazing and great.,2012-09-29
5219,儒,5,"NYFF首映!!!我太开心我最后买到票了, 因为实在是太好看啦!!!就像看Memento的感觉一样，我感到我再次看到了电影的进步，不管是spiritual上的还是technique上的~Mr. Parker最后那一顿、那个神奇的floating island、望向海底那一眼、美爆了的夜晚的海面…好多好多经典！眼泪哗哗的~李安打通任督二脉了啊！",2012-09-30
5220,Iberian,4,确实不是《生命之树》....虽然故事讲的有点“纺锤形”，不过对于一个人一只虎在海上漂了将近两个小时来说，全程没尿点除了无与伦比的3D之外，人虎间的化学反应也吸引人！3D绚丽又不炫耀都是为剧情服务，一个片头就把观众震的一片惊呼。中段更是惊的我心里阵阵的“我操”，而且看的我都有点“深海恐惧”,2012-10-01
5221,同志亦凡人中文站,4,基督在旷野修炼，魔鬼要求他展示奇迹将石头变成面包。但基督拒绝了，因为奇迹就是魔鬼的诱惑。故事出现第二个版本正是印证了这一点。它让电影主旨反转：不再是关于信仰的确立，而是它的缺失——信仰不能建立在奇迹之上，但假如你面对一个奇迹，却选择拒绝去相信，这就是没有信仰的悲哀了。,2012-11-22
5222,LOOK,2,绝对李安最差作品，一开场的《动物世界》就让我对这片失去信心了，整部影片毫无节制的温情(完全就是台湾人最爱唠叨的“要加油噢”的调调)与卖萌（那个狐濛太崩溃了）使得李安本来最擅长操作的成长主题停留在最表层。我是感觉李安既然这么爱3D，为何不直接拍一部DISCOVERY式的3D纪录片？,2012-11-22
5223,亵渎电影,4,不知道为什么有观众看完电影看到了信仰，或者又相信上帝了。而原著是让人宁愿相信有上帝，实际上故事的真相血淋淋的告诉你这个世界上根本就没有上帝。在清醒者眼里，你清楚事实的真相，你知道上帝没用；在善良者眼里，你宁愿相信稍微不太残忍的海上驯兽，你宁愿自我选择去相信美好和信仰而已。★★★★,2012-11-23
5224,Q。,4,「人生就是不断地放下，然而痛心的是，我都没能好好的与他们道别。」Imax相当加分，这并非3D效果运用的最好的一部电影，但炫目而非炫技视觉效果， 与电影合二为一融为一体。美轮美奂的场景如一场梦与哲学，是信仰与理性的完美对话，孰真孰假其实并没有那么重要。★★★★☆,2012-11-22
5225,HT：ツェペリ,2,看到8.8分顿时黯然。作为3D片，它不合格；作为故事片，它的叙事结构乏味至极。印度的殖民背景在片中显得不伦不类。整部片子从开始到结束我都处于震惊的状态，难以相信这是李安的作品。相比之下我旁边的观众就淡定多了，人家撑过了乏味的开头，却在海上的“激情”戏中昏睡过去了。上帝，为什么要吓我？,2012-11-22
5226,snoopynirvana,5,汗颜吧，所有华语导演们。,2012-11-22
5227,帆影绰绰,5,我隐约中感觉，老虎没有回头是我对这片子最大的认可；第二个故事被讲述后，这片子到达了另一个高度。人生是在不断放下，而我们唯一能做的就是妥善告别。,2012-11-22
5228,SAMMAX,2,李安現在影片畫面越來越美，但內容越說越白話...而且誰說這片跟柏格曼有關...,2012-11-21
5229,Justin-Z,5,全球媒体纽约首映，李安亲自来开场讲话，他真的很随和，儒雅，沉稳！画面唯美，震撼，3D 效果融合如了情节发展和剪辑。情节终于原著，因为故事真的没什么好改的了。导演坦言这是对自己导演生涯的最大一次挑战，但是看来他挑战的结果还不错，影片结束后所有国际媒体记者都报以热烈的掌声！,2012-09-30
5230,芦哲峰,5,第一次IMAX体验给了这部电影，是一个无比正确的决定。李安越来越大气，技术直指巅峰，叙事不急不躁。前面如同画龙，每一笔都美得让人灵魂出窍，第二个故事一带而过，却是点睛之笔，原来真相如此残酷，好比撒旦附体。一个是美，而瑰丽梦幻。一个是真，却丑陋无比，你喜欢哪一个？你又会相信哪一个？,2012-11-23
5231,高压电,3,3D是一项恶心的发明。世界信仰大团结，人与动物一家亲，欢迎李安来导演中国春节联欢晚会，谢谢。,2012-11-23
5232,小轻腥,5,这样的制作水准才好意思收那么高的票价啊〜国产的什么画皮3D你怎么有脸说你也是3D的！！！,2012-11-22
5233,shuli23333,2,不知道是不是我太肤浅和矫情，电影哪里好看啊！！！！！！！全程昏昏欲睡。,2012-11-23
5234,ASAHI 透明,2,相对于期待，落差很大的一部作品。前段后段拖的昏昏欲睡。李安填鸭式的招牌温情让人腻味。过于形式主义流于造作，不能产生共鸣。关于很多人所说的精美画面，我只觉得也就还好。,2012-11-23
5235,肖夏。,2,因为是李安，大家都给这么高的分数吗？,2012-11-22
5236,丁小云,5,李安这次拍了一部可以同时用“最美”、“最黑暗”和“最恐怖”来形容的电影……是的，这部《少年派的奇幻漂流》可又名《食尸少年的恐怖漂流》……,2012-11-22
5237,shin鲸饼,5,不知道那些说特效很水的人 他们之前的人生是多高端多冷艳 我觉得好看 起码等我有天把inception里头到底有几层梦境忘个差不多的时候 我大概应该还会记得那个夜光水母将海面打扮得仿佛极夜般的镜头,2012-11-22
5238,玖萬,5,完美得无懈可击，李安将电影艺术的精神内核又提升了一个层面！PS：豆瓣的过分解读完全破坏了电影的意境美，请问联想到“食母”“生蛆”的人心理到底有多阴暗多畸形？缺少信仰是一个民族最大的悲哀，钻牛角尖死磕所谓的正确答案的德性更是多年来中国教育制度的悲哀。,2012-11-22
